groupId	artifactId	version	scope	relation	packaged	warFile	origin	license	licenseEvidence
javax.servlet	servlet-api	2.4	provided	direct	false	-	https://repo.maven.apache.org/maven2/javax/servlet/servlet-api/2.4/servlet-api-2.4.jar	Apache-2.0	cabeçalho do source JAR
javax.servlet	jsp-api	2.0	provided	direct	false	-	https://repo.maven.apache.org/maven2/javax/servlet/jsp-api/2.0/jsp-api-2.0.jar	Apache-2.0	implementação Apache no manifesto
javax.servlet.jsp.jstl	jstl-api	1.2	provided	direct	false	-	https://repo.maven.apache.org/maven2/javax/servlet/jsp/jstl/jstl-api/1.2/jstl-api-1.2.jar	CDDL-1.0-OR-GPL-2.0-with-classpath-exception	POM pai org.glassfish.web:jstl:1.2
javax.servlet.jsp	jsp-api	2.1	provided	transitive	false	-	https://repo.maven.apache.org/maven2/javax/servlet/jsp/jsp-api/2.1/jsp-api-2.1.jar	Apache-2.0	implementação Apache no manifesto
org.mybatis	mybatis	3.4.5	compile	direct	true	mybatis-3.4.5.jar	https://repo.maven.apache.org/maven2/org/mybatis/mybatis/3.4.5/mybatis-3.4.5.jar	Apache-2.0	POM pai e META-INF/LICENSE
log4j	log4j	1.2.14	compile	direct	true	log4j-1.2.14.jar	https://repo.maven.apache.org/maven2/log4j/log4j/1.2.14/log4j-1.2.14.jar	Apache-2.0	POM e META-INF/LICENSE
commons-fileupload	commons-fileupload	1.2.2	compile	direct	true	commons-fileupload-1.2.2.jar	https://repo.maven.apache.org/maven2/commons-fileupload/commons-fileupload/1.2.2/commons-fileupload-1.2.2.jar	Apache-2.0	META-INF/LICENSE
commons-io	commons-io	1.3.2	compile	direct	true	commons-io-1.3.2.jar	https://repo.maven.apache.org/maven2/commons-io/commons-io/1.3.2/commons-io-1.3.2.jar	Apache-2.0	META-INF/LICENSE
org.reflections	reflections	0.9.10	compile	direct	true	reflections-0.9.10.jar	https://repo.maven.apache.org/maven2/org/reflections/reflections/0.9.10/reflections-0.9.10.jar	WTFPL-OR-BSD-3-Clause	POM do artefato
com.google.guava	guava	15.0	compile	transitive	true	guava-15.0.jar	https://repo.maven.apache.org/maven2/com/google/guava/guava/15.0/guava-15.0.jar	Apache-2.0	POM pai e Bundle-License
org.javassist	javassist	3.19.0-GA	compile	transitive	true	javassist-3.19.0-GA.jar	https://repo.maven.apache.org/maven2/org/javassist/javassist/3.19.0-GA/javassist-3.19.0-GA.jar	MPL-1.1-OR-LGPL-2.1-only-OR-Apache-2.0	POM e Bundle-License
com.google.code.findbugs	annotations	2.0.1	compile	transitive	true	annotations-2.0.1.jar	https://repo.maven.apache.org/maven2/com/google/code/findbugs/annotations/2.0.1/annotations-2.0.1.jar	LGPL-2.1-or-later	POM do artefato
